holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,Date,Time,AM/PM,traffic_volume,Group
New Years Day,265.94,0,0,90,Haze,haze,1/1/2016,12:00,AM,1513,0
New Years Day,265.94,0,0,90,Snow,light snow,1/1/2016,12:00,AM,1513,0
No Holiday,266,0,0,90,Snow,light snow,1/1/2016,1:00,AM,1550,0
No Holiday,266.01,0,0,90,Snow,light snow,1/1/2016,3:00,AM,719,1
No Holiday,264.8,0,0,90,Clouds,overcast clouds,1/1/2016,4:00,AM,533,1
No Holiday,264.38,0,0,90,Clouds,overcast clouds,1/1/2016,5:00,AM,586,1
No Holiday,263.99,0,0,1,Clear,sky is clear,1/1/2016,6:00,AM,809,1
No Holiday,264.16,0,0,1,Clear,sky is clear,1/1/2016,7:00,AM,882,1
No Holiday,264.8,0,0,75,Clouds,broken clouds,1/1/2016,8:00,AM,1077,1
No Holiday,265.76,0,0,90,Clouds,overcast clouds,1/1/2016,9:00,AM,1574,1
No Holiday,267.61,0,0,40,Clouds,scattered clouds,1/1/2016,10:00,AM,2059,1
No Holiday,269.43,0,0,1,Clear,sky is clear,1/1/2016,12:00,PM,3206,2
No Holiday,271.77,0,0,1,Clear,sky is clear,1/1/2016,1:00,PM,3498,2
No Holiday,271.98,0,0,1,Clear,sky is clear,1/1/2016,2:00,PM,3453,2
No Holiday,267.65,0,0,1,Clear,sky is clear,1/1/2016,8:00,PM,2134,5
No Holiday,266.52,0,0,1,Clear,sky is clear,1/1/2016,9:00,PM,1845,5
No Holiday,264.87,0,0,1,Clear,sky is clear,1/2/2016,1:00,AM,633,7
No Holiday,263.58,0,0,1,Clear,sky is clear,1/2/2016,2:00,AM,655,7
No Holiday,263.76,0,0,1,Clear,sky is clear,1/2/2016,3:00,AM,659,7
No Holiday,263.24,0,0,1,Clear,sky is clear,1/2/2016,4:00,AM,378,7
No Holiday,263.09,0,0,1,Clear,sky is clear,1/2/2016,5:00,AM,610,7
No Holiday,263.14,0,0,1,Clear,sky is clear,1/2/2016,6:00,AM,1043,7
No Holiday,263.39,0,0,1,Clear,sky is clear,1/2/2016,7:00,AM,1440,7
No Holiday,264.19,0,0,1,Clear,sky is clear,1/2/2016,8:00,AM,1880,7
No Holiday,264.99,0,0,1,Clear,sky is clear,1/2/2016,9:00,AM,2715,7
No Holiday,267.69,0,0,1,Clear,sky is clear,1/2/2016,10:00,AM,3153,7
